symbol,timestamp,open,high,low,close,volume,vwap
XBTUSD,2017-12-09T23:00:00.000Z,15024.0,15024.5,14892.0,14983.5,6632432,14965.5792
XBTUSD,2017-12-09T23:05:00.000Z,14983.5,15040.0,14900.0,14936.0,5145272,14970.0599
XBTUSD,2017-12-09T23:10:00.000Z,14936.0,14985.5,14850.5,14975.5,6572032,14907.573
XBTUSD,2017-12-09T23:15:00.000Z,14975.5,14975.5,14800.0,14809.5,5062198,14869.8885
XBTUSD,2017-12-09T23:20:00.000Z,14809.5,14860.0,14750.0,14793.0,6220495,14799.4672
XBTUSD,2017-12-09T23:25:00.000Z,14793.0,14920.0,14725.0,14856.5,6593661,14812.6204
XBTUSD,2017-12-09T23:30:00.000Z,14856.5,14882.5,14810.0,14839.5,3737578,14852.2204
XBTUSD,2017-12-09T23:35:00.000Z,14839.5,14839.0,14686.0,14790.0,8567209,14751.4383
XBTUSD,2017-12-09T23:40:00.000Z,14790.0,14809.0,14723.5,14787.0,2539612,14768.8672
XBTUSD,2017-12-09T23:45:00.000Z,14787.0,14923.0,14787.0,14848.0,4925384,14865.4675
XBTUSD,2017-12-09T23:50:00.000Z,14848.0,14948.5,14848.0,14870.5,2865296,14903.1297
XBTUSD,2017-12-09T23:55:00.000Z,14870.5,15011.0,14860.5,14987.0,4615821,14932.0591
XBTUSD,2017-12-10T00:00:00.000Z,14987.0,15038.0,14949.0,14984.5,3671045,14994.7518
XBTUSD,2017-12-10T00:05:00.000Z,14984.5,14987.5,14749.0,14769.5,8029283,14874.3121
XBTUSD,2017-12-10T00:10:00.000Z,14769.5,14838.0,14720.0,14815.0,3976187,14790.7114
XBTUSD,2017-12-10T00:15:00.000Z,14815.0,14815.0,14588.0,14588.5,7153242,14673.5143
XBTUSD,2017-12-10T00:20:00.000Z,14588.5,14696.0,14488.0,14491.0,12056427,14609.2038
XBTUSD,2017-12-10T00:25:00.000Z,14491.0,14546.0,14335.5,14399.0,12757384,14459.225
XBTUSD,2017-12-10T00:30:00.000Z,14399.0,14538.5,14360.0,14538.5,8271395,14469.686
XBTUSD,2017-12-10T00:35:00.000Z,14538.5,14550.0,14436.5,14436.5,6689246,14490.6535
XBTUSD,2017-12-10T00:40:00.000Z,14436.5,14499.5,14370.0,14467.5,5965673,14444.6049
XBTUSD,2017-12-10T00:45:00.000Z,14467.5,14484.5,14374.0,14374.0,4454483,14440.4332
XBTUSD,2017-12-10T00:50:00.000Z,14374.0,14452.5,14308.0,14452.0,6216753,14392.631
XBTUSD,2017-12-10T00:55:00.000Z,14452.0,14543.0,14415.5,14454.0,4542462,14482.2592
